question_id,question_id,question_text,correct_answer_text,main_area,sub_area,topic,subtopic,source_exam,question_type
1026,,El vitíligo se produce por:,Ausencia de melanocitos,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Vitíligo,residentado,regular
1027,,En referencia al vitíligo es cierto que:,Se asocia frecuentemente a enfermedades autoinmunes.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Vitíligo,residentado,regular
1030,,"Niño con eccemas, cuadro de varicela. En el transcurso de la patología, desarrolla erupción generalizada de vesículas-pustulosas y fiebre. Nombre de esta patología:",Erupción variceliforme de Kaposi.,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Enfermedades eruptivas de la infancia,residentado,regular
1031,,Lesión típica de la varicela:,Vesícula.,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Varicela,residentado,regular
1032,,"Un nadador de 30 años de edad presenta una lesión verrucosa en el labio inferior, única, con eritroplaquia en el paladar. ¿Cuál es el diagnóstico más probable?",Carcinoma espinocelular.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1033,,Uno de los siguientes procesos puede desarrollarse en cicatrices de larga duración:,Carcinoma epidermoide.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1034,,"Un varón de 49 años de edad presenta una placa eritemato-descamativa de meses de evolución en la espalda. En la histología, aparece una displasia intensa que afecta a todas las capas epidérmicas y a los anejos. El diagnostico mas probable es:",Enfermedad de Bowen.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1035,,"El epitelioma basocelular es el tumor cutáneo más frecuente en todas las localizaciones, EXCEPTO:",Manos.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",Examenes 2022/Cirugía Cardiovascular;residentado,regular
1036,,¿Cuál es el tumor maligno en el que con mayor frecuencia degenera el nevus sebáceo?,Carcinoma basocelular.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",Examenes 2018/UROLOGIA;residentado,regular
1037,,Varón de 42 años presenta un nódulo rojo brillante único sobre su nariz que parece centellear y brillar. Diagnostico probable:,Carcinoma de célula basal,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1038,,"Trabajador de construcción civil de 50 años de edad, tiene una pápula erosionada de lento crecimiento en labio inferior. Tiene historia de leucoplasia y ha sido un gran fumador. Tiene un nódulo supraclavicular sensible y pequeño. Podría tener:",Carcinoma de célula escamosa,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1039,,La característica más importante de la lesión para el pronóstico de un paciente con melanoma maligno es:,Grosor.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1040,,Los niveles de Clark y el espesor de Breslow son parámetros pronósticos importantísimos y elementos determinantes de la actitud quirúrgica a seguir en el:,Melanoma cutáneo.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1041,,Lesión pigmentaria que es con mayor frecuencia precursor potencial del melanoma cutáneo:,Nevus displásico,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1042,,Lugar mas común de metástasis de melanoma maligno:,Piel y ganglios linfáticos.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1043,,"Ante metástasis de melanoma sin tumor cutáneo aparente, ¿dónde NO buscaria el tumor primario?",Hueso esponjoso,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1044,,Tiene mas posibilidades de desarrollar un melanoma maligno:,Nevo pigmentario gigante congénito,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1045,,"Varón de 50 años refiere que hace 5 años le aparecen en distintas zonas de la superficie cutánea unas placas eritematosas, algunas con ligera descamación y picor. Posteriormente le aparecen de forma sucesiva placas infiltradas eritematosas y en los últimos meses lesiones tumorales de gran tamaño, algunas ulceradas. ¿Cuál de los diagnósticos que a continuación se enumeran es el más correcto?",Micosis fungoide.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1046,,"Varón de 60 años de edad presenta unas placas eritematosas en el tronco y es diagnosticado de micosis fungoide. Con ese diagnostico, se halla afectado de:",Un linfoma no-Hodgkin de fenotipo T.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA SANGRE Y COAGULACIÓN,Linfomas,residentado,regular
1047,,"Una enferma de 45 años de edad, que hace 5 años comienza con placas rojas, pruriginosas, en distintas zonas del cuerpo. Las lesiones progresivamente se extienden y se intensifican. Existen zonas de infiltración variable, incluso tumores. En la histología existen células atípicas intraepidérmicas. El diagnostico mas probable sería:",Linfoma cutáneo de células T.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,"Neoplasias dérmicas: Baso celular, Epidermoide y Melanoma",residentado,regular
1048,,Mujer de 57 años con lesión nodular roja grande en el abdomen. Linfadenopatía y hepatoesplenomegalia. Conteo leucocitario alrededor de 500.000/uL y nivel de calcio sérico está elevado. Ella probablemente tiene:,Leucemia de célula T adulto / Linfoma,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA SANGRE Y COAGULACIÓN,Linfomas,residentado,regular
1049,,Los linfomas de células B cutáneos:,Presentan menor numero de lesiones que linfomas T.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA SANGRE Y COAGULACIÓN,Linfomas,residentado,regular
1050,,"Lesión descamativa plateada, sobre una mancha roja. ¿Cuál es el diagnóstico más probable?",Psoriasis.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1051,,¿Cómo se conoce la aparición de lesiones de psoriasis en zonas de la piel donde ocurrió un traumatismo?,Fenómeno de Koebner.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1052,,El fenómeno de Koebner puede encontrarse en:,La psoriasis.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1053,,Indique el tratamiento de elección de entre los siguientes para los casos severos de psoriasis:,Retinoides.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1054,,¿Cuál es la afectación ungueal mas frecuente en los pacientes con psoriasis?,Pits ungueales.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1055,,"El raspado metódico de Brocq (signo de bujía, signo de la membrana y fenómeno hemorrágico de Ausptiz) es muy útil para diagnostico de:",Psoriasis.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1056,,"Relativo al etretinato, el fármaco empleado en el tratamiento de la psoriasis, es FALSA:",Es el tratamiento de elección de la psoriasis de los pliegues,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1057,,¿Cuáles son los tratamientos aceptados de la psoriasis grave? 1. Terapéutica PUVA (psoraleno y UVA); 2. Metotrexato semanal; 3. Corticosteroides tópicos; 4. Plasmaféresis; 5. Administración constante de corticosteroides bucales,"1, 2 y 3",CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1058,,"Pueden provocar un brote de psoriasis, EXCEPTO:",Factores hormonales,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1059,,La fotoquimioterapia (PUVA) en el tratamiento de la psoriasis está contraindicada en:,Embarazo.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1060,,Los microabscesos de Munro-Sabouraud son un hallazgo histológico característico de:,Psoriasis,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1061,,"Un paciente tiene placas eritematoescamosas blanquecinas en las axilas, ingles y pliegue interglúteo. ¿Cuál es el diagnóstico?",Psoriasis invertida.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1062,,"La Psoriasis inversa, afecta principalmente a:",Axilas.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1063,,Forma clínica de psoriasis que se precede frecuentemente de una infección estreptocócica:,En gotas.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1064,,"La psoriasis guttata que erupciona súbitamente en niños y adultos jóvenes, suele aparecer luego de una infección respiratoria por:",Estreptococo beta hemolítico.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1065,,Paciente que presenta en el cuero cabelludo costra láctea no pruriginosa. ¿Cuál es el diagnóstico más probable?,Dermatitis seborreica.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1066,,Un lactante de 5 meses presenta una erupción de 6 semanas de evolucion. Presenta máculas eritematodescamativas en el área del pañal y pliegues cutáneos. Descamación oleosa en el cuero cabelludo. Estudio de hongos negativo. Se trata probablemente de:,Dermatitis seborreica.,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Dermatitis atópica,residentado,regular
1067,,"En un niño que presenta unas lesiones cutáneas vesículoampollosas localizadas en codos y rodillas muy pruriginosas, nuestro primer diagnostico de sospecha es:",Dermatitis herpetiforme.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1068,,¿Cuál es el medicamento de elección para el tratamiento de la dermatitis herpetiforme?,Sulfona,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1069,,Es característico de la dermatitis herpetiforme:,Su asociación a una enteropatía por gluten asintomática,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1070,,"Mujer de 32 años, ama de casa, presente eritema pruriginoso, lesiones descamativas en las manos. Antecedente de asma bronquial y tuberculosis pulmonar en la infancia. ¿Cuáles la presunción diagnóstica?",Dermatitis atópica.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1071,,Un niño de 6 meses de edad presenta un eczema exudativo que afecta la cara y las superficies extensoras de las extremidades. El área del pañal es respetada y las zonas periocular y peribucal. Diagnostico mas probable:,Dermatitis atópica,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Dermatitis atópica,residentado,regular
1072,,La aparición de pliegue extra de piel por debajo del párpado inferior es una característica de:,Dermatitis atópica,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Dermatitis atópica,residentado,regular
1073,,"Un neonato tiene un enrojecimiento de las mejillas, que con el tiempo da lugar a costras amarillentas:",Dermatitis atópica.,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Dermatitis atópica,residentado,regular
1074,,La forma infantil de la dermatitis atópica suele localizarse típicamente en:,Flexuras de codos y rodillas.,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Dermatitis atópica,residentado,regular
1075,,La dermatitis atópica del lactante:,Respeta el triángulo nasogeniano.,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Dermatitis atópica,residentado,regular
1076,,"De los fenómenos que se citan a continuación, solamente uno tiene como base la respuesta inmune celular:",Dermatitis de contacto.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1077,,La forma mas reconocida de una dermatitis de contacto alérgica es:,Dermatitis por plantas.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1078,,¿Cuál de los siguientes metales es frecuente causa de dermatitis de contacto?,Niquel,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1079,,"Paciente de 17 años de edad que acude a consulta por presentar en forma progresiva de pigmentación en las axilas, ingle, pliegues del cuello, acentuado sobre todo en líneas y surcos. El diagnóstico sería:",Acantosis nigricans.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Obesidad,residentado,regular
1080,,"Es una pigmentación pardusca en los grandes pliegues (cuello, axilas, ingles) con hiperqueratosis, plegamiento y engrosamiento aterciopelado de piel:",Acantosis nigricans,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1081,,La Pseudomona aeruginosa es causante de una de las siguientes enfermedades dermatológicas:,Ectima gangrenoso.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad bacteriana de la piel,residentado,regular
1082,,El diagnostico de ectima estreptocócico se sospecha si se presentan una o más úlceras induradas principalmente en:,Miembros inferiores.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad bacteriana de la piel,residentado,regular
1083,,¿Cuál es la característica principal del ectima?,Es cuadro infeccioso que abarca hasta la dermis.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad bacteriana de la piel,residentado,regular
1084,,"Lesión cutánea de 3 cm de diámetro, en sacabocados, repleta de pus, cubierta de costras amarillentas y bordes definidos y eritematosos:",Ectima.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad bacteriana de la piel,residentado,regular
1085,,La tiña del cuero cabelludo es producida por:,Trichophyton tonsurans.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1087,,La alopecia postinflamatoria de la tiña capitis puede prevenirse con el uso:,Corticoides.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1088,,La micosis más frecuente es:,Tiña pedis.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1089,,"Un varón de 7 años de edad presenta una placa de alopecia en el cuero cabelludo de 3 cm, eritema, descamación blanquecina y pelos rotos a distintos niveles, leve prurito, de 15 días de evolución. La causa mas probable es:",Tiña tonsurante.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1090,,Para distinguir un intertrigo candidiásico de una tiña cruris:,"En el intertrigo candidiásico hallamos grieta en fondo del pliegue y posiblemente, lesiones satélite en el margen de la lesión.",CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1091,,¿Cuál es el diagnostico más probable ante un deportista moreno de 19 años con pequeñas manchas blancas en pecho y espalda que han aparecido en verano durante un viaje a un país tropical?,Pitiriasis versicolor,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1092,,La pitiriasis versicolor es ocasionada por un hongo de tipo:,Levaduriforme,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1093,,Uno de los siguientes agentes es activo frente a levaduras como a dermatofitos:,lmidazólicos.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1095,,"A un paciente afecto de micosis ungueal resistente a la griseofulvina, ¿qué tratamiento indicamos?",Ketoconazol oral.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1096,,¿Qué tratamiento NO estaría indicado en una  onicomicosis candidiásica?,Griseofulvina oral.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1097,,¿Cuál de las siguientes condiciones NO es causa de eritrodermia generalizada?,Lupus discoide.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1098,,"Mujer de 25 años presenta un eritema difuso en la piel, que se inicia pocos días después de haber comenzado a utilizar antibióticos para el tratamiento de una infección urinaria. En la exploración física la piel estaba enrojecida y caliente al tacto. Diagnostico mas probable:",Eritrodermia.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1099,,Tipo de toxidermia mas frecuente:,Erupciones exantemáticas,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1100,,El impétigo ampolloso es causado por:,Staphylococcus aureus coagulasa positivo.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad bacteriana de la piel,residentado,regular
1101,,¿Cuál de las siguientes infecciones NO se ha relacionado con los estafilococos?,Ántrax.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS INFECCIOSOS,Infecciones intrahospitalarias,residentado,regular
1102,,"Un niño de 9 años de edad presenta unas lesiones pustulosas superficiales, erosiones y costras amarillentas alrededor de la boca y las aberturas nasales, pensaremos en:",Impétigo contagioso.,CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Piodermitis,residentado,regular
1103,,El impétigo por streptococcus pyogenes puede complicarse con todo lo siguiente. EXCEPTO:,Fiebre reumática,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad bacteriana de la piel,residentado,regular
1104,,La lesión elemental clásica de la urticaria es:,Habón.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1105,,La causa mas frecuente de entre las urticarias es:,Urticaria idiopática.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1106,,En la urticaria  colinérgica señale la correcta:,"Aparece en algunos tras esfuerzos físicos, calor o nerviosismo.",CLÍNICO MÉDICAS,PEDIATRÍA,PROBLEMAS DE SALUD DEL NIÑO Y DEL ADOLESCENTE,Urticaria,residentado,regular
1108,,La urticaria acuagénica:,Se desencadena tras el contacto con agua,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1109,,¿Qué es el eritema nodoso?,Una paniculitis por hipersensibilidad.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1110,,"Una mujer de 30 años de edad, no fuma, padece astenia y perdida de peso de varios meses de evolucion. Brotes febriles y dolores articulares inespecíficos. Rx de tórax: adenopatías hiliares, sin infiltrado en los campos pulmonares. En la cara anterior de sus piernas hay nódulos rojo-violáceos, dolorosos a la palpación, sin características ulcerativas ni supurativas. Lesión cutánea probable:",Eritema nodoso.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,Examenes 2024/ANATOMÍA PATOLÓGICA;residentado,regular
1111,,"En el eritema nodoso, la AP se caracteriza por:",Paniculitis septal,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1112,,La lesión histológica del eritema nodoso se caracteriza por:,Infiltrado inflamatorio del tejido graso y dermis profunda.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1113,,Es correcta respecto al eritema nodoso:,Puede afectar a la cara.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1114,,Entre las causas de origen infeccioso habituales del eritema nodoso NO podemos incluir a:,Staphylococcus aureus.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS INFECCIOSOS,Infecciones intrahospitalarias,residentado,regular
1115,,"¿Cuáles de las siguientes sobre el eritema nodoso son verdaderas? 1. Puede relacionarse a sarcoidosis, ACO, infecciones estreptocócicas y enfermedad inflamatoria intestinal. 2. Suele ulcerarse. 3. Es una reacción de hipersensibilidad inflamatoria que ocurre en la grasa subcutánea. 4. Por lo general no causa dolor. 5. Puede tratarse con AINE, yoduro de potasio, corticosteroides sistémicos, o todos ellos.","1, 3 y 5",CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,Examenes 2024/ANATOMÍA PATOLÓGICA;residentado,regular
1116,,El síndrome de Stevens-Johnson es la forma grave de:,Eritema exudativo multiforme.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1117,,Con mas frecuencia puede desencadenar un brote de eritema multiforme (eritema polimorfo):,Herpes simple,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS INFECCIOSOS,Herpes - Mononucleosis,residentado,regular
1118,,Las lesiones cutáneas en forma de diana son típicas de:,Eritema multiforme.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1119,,¿Qué es el eritema crónico migratorio?,Una espiroquetosis.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS INFECCIOSOS,"Insectos, artrópodos y ofidios venenosos",residentado,regular
1120,,¿Cuál de estos eritemas fisurados pueden formar parte del síndrome del glucagonoma?,Eritema necrolítico migratorio,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Patologías gonadales,residentado,regular
1121,,¿Cuál de las siguientes lesiones NO se considera una lesión primaria de piel?,Cicatriz.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1122,,Lesión elemental que NO es de contenido líquido:,Habón,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1123,,La roncha o habón tiene un contenido:,Edematoso.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1124,,¿Cuál es la lesión dérmica en el herpes zoster no complicado?,Vesícula.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS INFECCIOSOS,Herpes - Mononucleosis,residentado,regular
1125,,Hombre de 65 años presenta herpes zóster en la cara. ¿Cuándo se consulta con un oftalmólogo? Cuando...,Presenta lesiones en la punta y lado de la nariz,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS INFECCIOSOS,Herpes - Mononucleosis,Examenes 2023/OFTALMOLOGÍA;residentado,regular
1126,,¿Cuál fármaco utiliza de primera elección en el tratamiento del herpes zoster?,Aciclovir.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS INFECCIOSOS,Herpes - Mononucleosis,residentado,regular
1127,,"Un varón de 27 años de edad que presenta lesiones erosivas superficiales agrupadas de pequeño tamaño con bordes geográficos sobre un área eritematosa y algo edematosa en el glande, se realiza un raspado de la lesión y el exudado teñido con Giemsa demuestra células gigantes multinucleadas. Diagnostico mas probable:",Herpes simple.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS INFECCIOSOS,Herpes - Mononucleosis,residentado,regular
1128,,La presencia de pelos peládicos es una característica de una de las siguientes dermatosis:,Alopecia areata.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1129,,"En la etiopatogenia de la alopecia areata son ciertas las siguientes afirmaciones, EXCEPTO:",Ocasionalmente es producida por hongos,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad micótica,residentado,regular
1130,,Una niña de 10 años de edad presenta desde hace unos meses una lesión en la región pretibial izquierda. Destaca una historia familiar y personal de DM. La lesión era una placa eritematosa con centro atrófico y cicatrizal de color amarillo. Se trata probablemente de:,Necrobiosis lipoidica.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1131,,La necrobiosis lipoídica se asocia preferentemente a:,Diabetes mellitus.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS HORMONALES Y METABÓLICOS,Diabetes mellitus,residentado,regular
1132,,La localización mas común de las lesiones de necrobiosis lipoídica es:,Superficie anterior de la pierna,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Psoriasis,residentado,regular
1133,,La lesión histológica mas caracterizada del pénfigo vulgar es:,Acantolisis.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1134,,"Paciente de 45 años, ampollas frágiles que se erosionan causando dolor. Al inicio solo en la mucosa oral, luego se han extendido afectando ahora cabeza y pliegues axilares. ¿Cuál es su diagnostico?",Pénfigo vulgar.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1135,,¿Qué lesión histopatológica causa el pénfigo vulgar en la piel?,Una ampolla intraepidérmica,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1136,,¿De qué enfermedad es característico el signo de Nikolsky?,Pénfigo,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,residentado,regular
1137,,¿En cuál de las siguientes enfermedades ampollosas las lesiones tienden a localizarse en áreas seborreicas?,Pénfigo eritematoso.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad alérgica,Examenes - 2019/ANATOMIA PATOLOGICA;residentado,regular
1138,,"Un cuadro clínico crónico caracterizado por lesiones maculares hipocromicas, de bordes mal definidos, de predominio en cara y orejas, codos, nalgas y rodillas, con hipoestesia en las zonas lesionadas, caída de los bordes laterales de las cejas, nervios cubital y peroneo palpables y engrosados, con termoanalgesia en manos y pies, es característico de:",Lepra.,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS INFECCIOSOS,Parasitosis,residentado,regular
1139,,El fenómeno de Lucio es una particular forma de vasculitis cutánea relacionada con:,Lepra,CLÍNICO MÉDICAS,MEDICINA,PROBLEMAS DE LA PIEL,Enfermedad bacteriana de la piel,residentado,regular
